,record,bad,cumulative bad %,cumulative total %,pred_col
0.656,6,2,73.51524879614767,35.25312855517634,prob_Logistic
0.657,8,2,73.62225789192081,35.36689419795222,prob_Logistic
0.658,5,2,73.72926698769395,35.43799772468714,prob_Logistic
0.659,3,1,73.78277153558052,35.4806598407281,prob_Logistic
0.66,7,3,73.94328517924023,35.580204778157,prob_Logistic
0.661,4,1,73.99678972712681,35.637087599544934,prob_Logistic
0.662,8,2,74.10379882289995,35.750853242320815,prob_Logistic
0.664,10,4,74.31781701444623,35.89306029579067,prob_Logistic
0.665,4,2,74.42482611021937,35.94994311717861,prob_Logistic
0.666,5,3,74.58533975387908,36.02104664391354,prob_Logistic
0.667,4,0,74.58533975387908,36.07792946530148,prob_Logistic
0.668,2,1,74.63884430176564,36.106370875995445,prob_Logistic
0.669,7,3,74.79935794542536,36.20591581342435,prob_Logistic
0.67,3,1,74.85286249331193,36.248577929465306,prob_Logistic
0.671,5,2,74.95987158908507,36.31968145620023,prob_Logistic
0.672,4,0,74.95987158908507,36.376564277588166,prob_Logistic
